Nx,Ny,dmax,Tmax_C,Tmean_C,time_s
61,31,0.00025,49.44099529236358,34.271391771778546,1.2175383920002787
61,31,0.0005,43.16327036518372,32.43533597812391,1.3667650570005208
61,31,0.001,41.11072109512589,29.171364830312598,1.9024691930007975
121,61,0.00025,49.53602826138239,34.548597668300715,4.543253544001345
121,61,0.0005,42.34881948299314,32.34501657497271,5.450562996000372
121,61,0.001,40.54688324781667,28.75000203884779,7.5469845089992305
241,121,0.00025,49.40226160166001,34.70472752364322,18.290227121999123
241,121,0.0005,42.21274608746684,32.30072341111367,22.14534989800086
241,121,0.001,40.392757766149664,28.86058429179047,30.527547057999982
