mesh,rule,subdivisions,pmax_Pa,pmin_Pa,power_W,mu_edge_mean_Pa_s
refinada_241x121,midpoint,1,2614.019043278543,0.0,0.00278552146110435,0.0006357474665398371
refinada_241x121,midpoint,10,2639.395204503499,0.0,0.0028135687224156397,0.0006366677082279362
refinada_241x121,midpoint,100,2639.8357462255517,0.0,0.0028140545322110173,0.000636677109886525
refinada_241x121,midpoint,1000,2639.8392449088983,0.0,0.0028140583963387937,0.000636677200053615
refinada_241x121,trapezoid,1,2702.848004457487,0.0,0.002883667184064741,0.000638580746991436
refinada_241x121,trapezoid,10,2640.7320006590285,0.0,0.002815043144076367,0.0006366962728049345
refinada_241x121,trapezoid,100,2639.8470472915456,0.0,0.0028140670078440457,0.0006366773921117841
refinada_241x121,trapezoid,1000,2639.839376060175,0.0,0.0028140585410434925,0.0006366772027349689
refinada_241x121,direct_mu_trapezoid,1000,2651.655379967236,0.0,0.002827387462653218,0.0006372766471438471
grosseira_61x31,midpoint,1,2606.5438264615286,0.0,0.0027771942388483475,0.0006355638068157108
grosseira_61x31,midpoint,10,2634.390208082615,0.0,0.0028079471735210845,0.000636500740237564
grosseira_61x31,midpoint,100,2634.778772879148,0.0,0.0028083757985284813,0.0006365113194279785
grosseira_61x31,midpoint,1000,2634.7846117038107,0.0,0.002808382255952452,0.0006365113863117676
grosseira_61x31,trapezoid,1,2700.786546365707,0.0,0.002881268971594832,0.0006384919543041633
grosseira_61x31,trapezoid,10,2635.483782891154,0.0,0.0028091536849899385,0.0006365316447189941
grosseira_61x31,trapezoid,100,2634.790686914016,0.0,0.0028083889580424732,0.0006365115344628857
grosseira_61x31,trapezoid,1000,2634.7846181960035,0.0,0.002808382262688896,0.0006365113882829637
grosseira_61x31,direct_mu_trapezoid,1000,2646.8092749956554,0.0,0.002821941754918676,0.0006371136672714085
