mesh,rule,subdivisions,T_edge_min,T_edge_mean,T_edge_max,erro_inf_vs_trap1000,erro_l2_vs_trap1000,time_s
refinada_241x121,midpoint,1,11.31460045547786,43.99293810956338,61.98380098226815,1.3262581024743412,0.1787706990926574,0.017525590999866836
refinada_241x121,midpoint,10,11.292036291246575,43.9127965582174,61.73341622798846,0.023900835984100866,0.0020866435024974282,0.024618258999907994
refinada_241x121,midpoint,100,11.291802625854368,43.91197618656602,61.73090653620601,0.00019210421940130118,1.8961172327902047e-05,0.028431267999621923
refinada_241x121,midpoint,1000,11.29180050335729,43.91196829814136,61.73088222440093,7.097400754219052e-06,6.177340333154475e-07,0.048455408999871
refinada_241x121,trapezoid,1,11.245293718092114,43.74876865652225,61.225880189397465,3.1393503450753215,0.36905386252758343,0.026792566999574774
refinada_241x121,trapezoid,10,11.291318385497899,43.910308075656474,61.72588700963067,0.04822957440726583,0.004208268795655137,0.02761705000011716
refinada_241x121,trapezoid,100,11.29179577965562,43.91195157347771,61.73083194211589,0.0004101522303230354,3.9137292789585906e-05,0.03101110100033111
refinada_241x121,trapezoid,1000,11.29180043250697,43.91196806279455,61.73088150211886,0.0,0.0,0.039873994999652496
grosseira_61x31,midpoint,1,11.264400849601795,44.02314438951205,62.11083567124936,1.4717593013076282,0.18252631396212535,0.023261527001523064
grosseira_61x31,midpoint,10,11.242566965815838,43.9408147612303,61.82224224549532,0.020871557700878896,0.0022081324178368856,0.026911114000540692
grosseira_61x31,midpoint,100,11.242281807309435,43.93989711519065,61.81989248490939,0.00032789934304844337,2.199489382104949e-05,0.028221762000612216
grosseira_61x31,midpoint,1000,11.242281586358244,43.93989125620788,61.819874707329355,1.692279752774084e-06,3.2923769928877986e-07,0.048592090999591164
grosseira_61x31,trapezoid,1,11.19499270194012,43.77041579158827,61.33949926380062,3.335085544012429,0.3772578147516858,0.028697162999378634
grosseira_61x31,trapezoid,10,11.241740037506679,43.938137666012274,61.81541500970063,0.03726652485409687,0.004075775084666931,0.03200433700112626
grosseira_61x31,trapezoid,100,11.242279240994643,43.9398785109322,61.81983787865443,0.0003278993430768651,2.754277299580488e-05,0.033963925001444295
grosseira_61x31,trapezoid,1000,11.242281544692016,43.939891082665625,61.81987407430749,0.0,0.0,0.05183219299942721
