degree,L2_error,coeff_norm
3,2.482499609145924,4.202537148452161
4,2.099509315731734,14.303664298613683
5,1.2961931021664796,34.34768437023375
6,0.6189601383524286,51.33524995457751
7,0.6006220799847992,46.527425839780015
8,0.3721240681998361,155.91864731412934
9,0.11591229436965503,251.66177192185043
10,0.11594584290717459,245.4391222278957
11,0.08822556164605648,429.04460607115055
12,0.08089864517961798,545.8399794615672
13,0.03669428409908871,1644.5310956162919
14,0.035781323193322126,1625.1176604488467
15,0.020795349505280482,4093.630287235148
