E_dt005,E_dt010
6.54279310380501,5.393865959213034
6.555748240252639,6.268962870034885
5.858129673522607,5.26043446209718
5.656008832902691,5.132118712059256
5.677004539087605,6.3506518027475645
6.02257466798011,6.275559556235038
6.539323638208419,6.264917622388368
6.524595494548656,5.362661241777277
5.660108113579233,6.2352356034347745
5.755313592440221,6.245228341780737
6.543152549594362,5.34821284904088
6.557663369799506,5.215122508657174
6.552132701840025,5.1220834130521995
6.5584076106992715,6.250683052002481
6.5326755149234454,6.356796412367316
6.522926450858369,5.1434938184356795
6.517289131188978,5.0014974471868765
5.639616149349999,6.368445090299387
5.722763411713915,6.283240518530562
6.5475312961152845,6.255543466251638
5.980121882298193,5.185723090293056
6.522312725810379,6.258199714005731
5.779106294468578,5.537124364838428
6.544736901129839,6.291419434091152
6.557089048454374,5.070794123175277
5.677145503392092,4.999622836227039
6.542930259375607,5.550749944741449
6.559297708064374,6.368082123304676
6.546444517942424,5.01329133598008
6.536209935477561,4.997185145899959
6.55682597044417,5.653147285153622
5.783627020652226,6.367096262285674
6.536661985199628,5.255434426114837
6.520441991997762,6.255634888301191
5.854180112961907,6.258311125310881
5.895261348945949,6.29347684598368
6.526090025651877,6.367517010687159
6.546220636927078,6.370708969956416
6.538891264265157,6.27820679268823
6.559552469209513,5.383909721597137
6.531065216746741,6.279378353762924
6.524827326703885,6.25870537457187
6.547636662186675,6.245995678357069
5.9394297654771275,6.299129634635238
5.702661761791407,6.271081068412874
6.553457819762131,6.236684480610794
6.5424948163259575,6.368314314494183
6.557738763062847,5.2879057449988265
6.564932137661493,5.190533811138309
6.567068965084603,5.269619694109434
5.674613363715415,5.409128320585847
6.528641232906347,6.259348886922902
6.523714647469252,6.263896875436354
6.560503429686009,6.2649701204007116
5.778333382312734,6.278533099729248
6.5245499793146156,5.239195293133644
6.5278976002780436,6.229447857526347
6.5361535808604785,6.256305132544322
5.577547119550596,5.3330946974027285
6.540255373567361,6.269532239981684
6.559495336615679,6.360614635053061
5.772985125794561,5.403932546718886
6.554249132403535,5.322425767841424
5.729786497755173,6.257685726122358
6.563071646155069,5.1693384367233435
6.560945619589462,5.1658927799151115
6.536203467140069,6.256308847960938
5.726416182853043,6.277161145426087
6.5238384833872,6.234589065335675
5.944201760730295,6.293790681067474
6.541295840303864,6.27642715120378
6.535389061257752,6.251201875852797
6.552050513415567,5.420926767161745
6.539265400215623,6.251478651059617
5.900692501985231,6.2321502934642865
5.804549306322624,6.260100409297512
6.543312414346376,5.084280016790093
5.812904509488838,6.369956205411234
6.55912275385446,5.062077517026244
6.544971399703794,6.3629417009588165
5.659530992144088,5.174873070156602
5.785126984262863,6.357168510407945
6.551307430852013,6.2401627464480445
6.549273943854841,6.36830214666725
5.808622949205498,6.272296324763952
6.5584587978720155,6.2575085785403575
6.551088916513473,6.294116280724747
6.517241678917345,6.262879912527833
6.5182312741494375,6.271602626101336
6.533628291433221,5.336270615570752
6.554063062370094,6.234133121215071
5.602771329481924,5.220083664547657
6.549088705974833,6.267817492271166
5.833381561929327,6.319222150551006
6.5307702230126665,5.002399252833631
5.5742538211036,6.364764088810487
6.545500051974763,6.237452912958995
6.544654748592807,6.27602595182573
6.54859237983666,6.313612989183943
5.764434952136478,5.2091036877322345
5.715386289545162,5.284595359819279
6.530416322566401,6.255158881492318
6.525911772309242,5.047883721596971
6.550029262947799,6.268704568421279
6.551587406177102,6.286714009781399
5.9218844808860185,5.082216177140584
5.592133471407744,6.289234924895686
6.524191564432016,6.361771318837846
6.5488887331415455,6.360695955878125
6.53992653654685,6.25318401838102
6.534299005895987,6.272074626179661
6.516648967163942,6.365655494378622
5.673938482574297,6.2429879623673035
5.636332923540138,6.240366036692455
6.548224911093863,6.240779907487261
5.6459044711744255,5.101124653613832
5.863013155605311,5.463890362366502
6.52230853977779,6.239916806503822
5.928659877803858,5.183035113738969
5.726354270213677,6.265427163570718
6.5346050421862305,5.192839271362941
6.55990975126385,6.231607429367845
6.038750264432354,6.270440768115902
6.510748815423847,5.172191632598311
5.62817946320822,5.139063290621758
6.536165591325675,6.236234856255889
5.799458574872817,5.153759074442814
6.526706667111492,6.273546707443324
6.529059580582681,6.370022915788633
6.5298028487211095,5.2450178063457
6.5438580104864075,5.108705140998284
6.527021927387446,6.369313246064884
6.557685047445077,6.349198321787201
6.523886665385409,5.2919289937461675
5.7460099086662115,5.605535593430028
6.516543059405501,5.1054095205375525
6.52256716751942,5.15903010035861
6.515269750558978,6.263147746990208
6.543671454581574,6.27039048961397
5.7712865309364485,6.272876040438276
6.550620528701254,6.285035945280361
5.802532843668106,5.049987101391244
5.803772328522541,5.2912783975774955
6.554247622529735,5.08083716779555
6.52350890969897,5.266824821563681
6.09296253780864,6.256828102356687
5.735159277924937,5.13023887648851
6.56120954765305,6.229570811849078
6.545057179951845,6.280986163880372
6.547151422068375,6.294182928089931
6.5712187621653815,6.290298981818817
6.544375921601906,6.282271478110767
6.528949127685795,6.2679310610168555
6.527889400303128,6.274440825218723
6.546126959468167,5.134571367133914
6.552743277715183,5.2451660139772125
6.511562206139093,5.208435431704885
5.6286326739580534,5.08276954540937
5.683287339038216,5.294229152598763
5.65622146048148,5.0092024012515175
6.557948201822352,6.369180709597307
6.554909265957367,5.320857931996445
5.8289846496358475,6.261174515137679
6.520571892095079,5.066456556803103
