tau,P_limpo,p_inlet_ruidoso_Pa,P_ruidoso
0.0,0.4236582898833108,5019.827152307958,0.42702492673668146
0.05,1.3912663534462348,5033.964727249969,1.406684354869478
0.1,2.5648663287304565,4857.734785998948,2.52258430097719
0.15000000000000002,3.7353552195807964,5002.191329444286,3.6945867622392576
0.2,4.781386947129327,5351.766923263585,4.945783609030672
0.25,5.639178377369843,4953.176717650696,5.755312621469768
0.30000000000000004,6.282358607384815,5398.957923418526,6.645350179837806
0.35000000000000003,6.708305801230612,4626.651889312464,6.754558595156748
0.4,6.928878731362257,4633.23042518251,6.711013860115125
0.45,6.964218653082957,4896.123035736994,6.710390287470847
0.5,6.838676265919268,4599.250452476485,6.364552727147986
0.55,6.578188815735327,4809.713683691145,6.0750053954860945
0.6000000000000001,6.208636418149416,4986.733024232662,5.804483746174455
0.65,5.754852643057609,5615.505890633298,5.82467734838068
0.7000000000000001,5.240065980106852,5708.851199256086,5.736978943805752
0.75,4.685618849257745,5265.607239879281,5.2305961259790354
0.8,4.110858723630587,5685.658405633521,4.914428521022874
0.8500000000000001,3.5331284636621056,5634.949804456631,4.476448821549251
0.9,2.9678050290883515,4854.16437636271,3.58524836952871
0.9500000000000001,2.428350792923137,4628.324501284339,2.7042567848869385
1.0,1.9263521436610525,4935.440014658452,2.0851617630258463
1.05,1.4715277592555882,4743.560588878522,1.4861156483973046
1.1,1.0716954954931683,5167.644627406768,1.1131700890959912
1.1500000000000001,0.7326938208588043,4556.611066178728,0.6516276088946062
1.2000000000000002,0.4582625120361401,5505.167294148429,0.48355003707234623
1.25,0.24989863226792064,5746.609709770506,0.3653954897976375
1.3,0.10671719474210839,4836.632669407242,0.14591623972012036
1.35,0.02535929030320494,5711.784991495684,0.08231200174429087
1.4000000000000001,1.2185340303276504e-07,4410.008818670955,0.0002501288985019279
1.4500000000000002,0.02251067441574528,4400.690823781551,0.051710483391623985
1.5,0.08281546418755426,4344.777750282941,0.20138249091144456
1.55,0.1694631087570886,5436.227308088314,0.2481478254202738
1.6,0.2703885410439577,5543.0668281910275,0.28207624736029846
1.6500000000000001,0.37380245259069333,4813.216151601595,0.43088116278220134
1.7000000000000002,0.4691055593612221,4699.5109551643245,0.5974701899971873
1.75,0.5477039547158924,5227.421456770304,0.6310409745247592
1.8,0.6036055981268982,4504.710351934243,0.8055568343233048
1.85,0.6337089474885866,4577.31316887781,0.9238093192338948
1.9000000000000001,0.6377470532497975,4851.791031666499,0.9278887172953416
1.9500000000000002,0.6179116628286003,4684.837695224593,0.942693713838711
2.0,0.5782367746280537,5346.139051026853,0.7644696548869048
2.0500000000000003,0.523856405164902,4818.240127724293,0.7177054110317878
2.1,0.46025997010273656,5271.147613723731,0.5618130092168379
2.15,0.39265135674438856,4975.477274024019,0.4791413874178376
2.2,0.3254820158757754,5468.770051615259,0.32054494713952764
2.25,0.26218540389310974,5197.701446190936,0.23489904730114164
2.3000000000000003,0.20510085990564786,4307.25089003278,0.2722097700964703
2.35,0.1555472514132057,5529.193780276124,0.14535914535750516
2.4000000000000004,0.11399356058881827,5432.607671600637,0.07189846534381994
2.45,0.08027379111004418,5064.98917421899,0.04610981715395157
2.5,0.05380314092851468,4793.376413190334,0.03947369862701011
2.5500000000000003,0.03376639115476854,4817.729560600561,0.030665792875332887
2.6,0.01926362654572711,4906.867799977238,0.018886599118593028
2.6500000000000004,0.00940993982540117,4961.055614047759,0.008721632022687942
2.7,0.003393515000185532,4267.560753378497,0.020219228076437612
2.75,0.0005005463276059607,5725.086785352242,0.00016748824004383933
2.8000000000000003,0.0001166650685580084,5341.8199746374585,0.008926025368497181
2.85,0.0017139664257493914,5704.606135033742,0.044601628607002564
2.9000000000000004,0.004831265985848487,4986.8481443048795,0.04622749152385364
2.95,0.009053492570538335,4446.785400867468,0.022147820722897116
3.0,0.01399446076565558,5623.9249507420955,0.0620743864047244
3.0500000000000003,0.019285761572628846,4910.150673038057,0.05700957008658736
3.1,0.024573145995990364,4510.199604053656,0.03147351464683834
3.1500000000000004,0.029520513663030545,5018.775142127948,0.03712627165630389
3.2,0.033820454433239444,5178.548699357786,0.05054344686413592
3.25,0.03720928228359521,5125.689917599303,0.05854890216351549
3.3000000000000003,0.03948375311093977,4253.373773153335,0.019412276887788793
3.35,0.040516292210394766,5453.336415363812,0.04347121946256238
3.4000000000000004,0.040265666410002066,4260.698968205485,0.011328689105976952
3.45,0.03878064465009512,4436.3043911583145,0.0017581150008414426
3.5,0.03619523487051435,5720.795825116437,0.023498068978756947
3.5500000000000003,0.032715404536924675,5306.7144219728725,0.034830411814325224
3.6,0.028598562222679424,4479.241125508006,0.010256085861649944
3.6500000000000004,0.02412824905032762,5521.990649297597,0.026559559563515522
3.7,0.019587241465928606,5142.383749997832,0.025648800209538747
3.75,0.015232465530187422,5542.920175489734,0.042334099020552296
3.8000000000000003,0.011274739267180811,4780.304624709137,0.019517945453888186
3.85,0.00786548845767654,4580.2208067354,0.003135732026361693
3.9000000000000004,0.005091407888287103,4335.702362237991,0.0021792349348856432
3.95,0.0029768019836454163,4686.074566440715,0.007445166760556399
4.0,0.0014922677862320155,5591.583868987018,1.4543393634745133e-06
