H_um,E,F
100.0,0.021336870106519374,-7.478663129893481
205.00000000000003,0.3669565698876312,-7.133043430112369
310.00000000000006,1.7089890388094517,-5.7910109611905485
415.00000000000006,4.101786302491982,-3.3982136975080177
520.0000000000001,6.0687307821888545,-1.4312692178111455
625.0000000000001,6.602245097096729,-0.8977549029032712
730.0000000000002,6.423736782809987,-1.0762632171900126
835.0000000000001,6.08756912071841,-1.4124308792815903
940.0000000000002,5.6640219925871795,-1.8359780074128205
1045.0000000000002,5.165909602286035,-2.3340903977139646
1150.0000000000002,4.603065771174901,-2.896934228825099
1255.0000000000002,4.002339322947239,-3.497660677052761
1360.0000000000002,3.4071045207209494,-4.092895479279051
1465.0000000000005,2.856250528502093,-4.643749471497907
1570.0000000000002,2.372140442379761,-5.127859557620239
1675.0000000000002,1.9613674284310234,-5.538632571568977
1780.0000000000002,1.6204379309262789,-5.879562069073721
1885.0000000000005,1.3410637968005505,-6.158936203199449
1990.0000000000005,1.1135795516698033,-6.386420448330197
2095.0,0.9287257386447545,-6.571274261355246
2200.0,0.7783941864590921,-6.721605813540908
